name,snr (dB),rssi (dBm),Record Count
GW_LA_GRAN_LUCHA,-0.5,-109,6123
GW_BUENA_VISTA,-5.2,-99,4081
GW_MUSEO,-3.8,-104,3889
GW_GUACARI,-4.8,-104,3516
GW_CAMBIASO,-9.2,-115,3180
GW_RITA,-2.5,-108,2969
GW_AMAIME,-1.35,-107,2742
GW_ROZO,-8.5,-111,2078
GW_ORTIGAL,-20.2,-100,1471
GW_SAN_JERONIMO,-3.8,-108,1452
24E124FFFFF06EBA,-1.5,-115,1090
GW_TULUA,-2.2,-109,841
24E124FFFFF06E94,-0.8,-113,571
GW_CANDELARIA,-10,-109,505
24E124FFFFF5C608,-4.8,-113,492
GW_CENICAÃ‘A,-15,-96,456
GW_SEVILLA,-8.5,-113,453
GW_KWET_WALA,-16,-98,432
GW_NOVILLERA,-18,-119,334
GW_RUT,-3.8,-113,326
GW_SAN_MARCOS,-14.65,-120,318
GW_VALLECITO,-16,-111,270
GW_RIO_FRIO,1.2,-108,257
24E124FFFFF13F2B,-5.8,-115,246
GW_SANTANDER,-13.2,-117,242
GW_LA PAILA,-2.5,-115,179
GW_LA_CRISTALINA,-17.9,-114,42
GW_EL_SALADO,-20.5,-116,27
GW_CRESTA_DE_GALLO,-20.2,-116,27
GW_EL_NARANJO,-20.25,-113,8
GW_VIRGINIA,1,-113,1
GW_VITERBO,-16,-117,1